Weight	Estimated
92.23	37.24002536
70	37.07576484
115	36.83302034
102.95	37.38725227
113.5	37.44700868
120	37.19264954
103	37.19209113
75	36.88093542
98	36.88861355
32	35.44987374
97	37.03043348
80	37.22846084
94	37.59390821
110	37.16527801
93	37.05113319
106	36.71053724
74	37.34197062
23	37.51385385
95	37.57480759
107.3	36.96436846
100	36.404
87	36.72162627
117	37.24189914
100	36.70102466
106	36.81898706
155.7	37.81013738
