Time	Time_C	Temperature
33:21.0	7.5	35.2
33:23.0	7.533333333	35.2
33:25.0	7.566666667	35.2
33:27.0	7.6	35.2
33:29.0	7.633333333	35.2
33:31.0	7.666666667	35.2
33:33.0	7.7	35.2
33:35.0	7.733333333	35.2
33:37.0	7.766666667	35.2
33:39.0	7.8	35.2
33:41.0	7.833333333	35.2
33:43.0	7.866666667	35.2
33:45.0	7.9	35.2
33:47.0	7.933333333	35.2
33:49.0	7.966666667	35.2
33:51.0	8	35.2
33:53.0	8.033333333	35.2
33:55.0	8.066666667	35.2
33:57.0	8.1	35.2
33:59.0	8.133333333	35.2
34:01.0	8.166666667	35.2
34:03.0	8.2	35.2
34:05.0	8.233333333	35.2
34:07.0	8.266666667	35.2
34:09.0	8.3	35.2
34:11.0	8.333333333	35.2
34:13.0	8.366666667	35.2
34:15.0	8.4	35.2
34:17.0	8.433333333	35.2
34:19.0	8.466666667	35.2
34:21.0	8.5	35.2
34:23.0	8.533333333	35.2
34:25.0	8.566666667	35.1
34:27.0	8.6	35.1
34:29.0	8.633333333	35.1
34:31.0	8.666666667	35.1
34:33.0	8.7	35.1
34:35.0	8.733333333	35
34:37.0	8.766666667	35
34:39.0	8.8	34.7
34:41.0	8.833333333	34.6
34:43.0	8.866666667	34.5
34:45.0	8.9	34.7
34:47.0	8.933333333	34.7
34:49.0	8.966666667	34.7
34:51.0	9	34.6
34:53.0	9.033333333	34.5
34:55.0	9.066666667	29.8
34:57.0	9.1	34.3
34:59.0	9.133333333	35.7
35:01.0	9.166666667	34.4
35:03.0	9.2	33.8
35:05.0	9.233333333	33.7
35:07.0	9.266666667	33.5
35:09.0	9.3	32.4
35:11.0	9.333333333	33.7
35:13.0	9.366666667	33.5
35:15.0	9.4	33.4
35:17.0	9.433333333	33.2
35:19.0	9.466666667	32.8
35:21.0	9.5	32.5
35:23.0	9.533333333	32.5
35:25.0	9.566666667	33.4
35:27.0	9.6	33.3
35:29.0	9.633333333	33.1
35:31.0	9.666666667	32.9
35:33.0	9.7	32.8
35:35.0	9.733333333	33.8
35:37.0	9.766666667	34.8
35:39.0	9.8	35.2
35:41.0	9.833333333	35.1
35:43.0	9.866666667	35.1
35:45.0	9.9	32.9
35:47.0	9.933333333	33.4
