time	temperature
53.17	35.6
53.83	35.6
54.5	35.6
54.92	35.6
55.33	35.6
55.83	35.6
56.35	35.6
56.78	35.5
57.33	35.5
57.83	35.5
58.22	35.4
58.67	35.4
59.1	35.3
59.57	35.3
60.05	35.2
60.5	35.1
61	35.1
61.43	35
61.92	34.9
62.35	34.8
62.78	34.7
63.23	34.7
63.7	34.6
64.17	34.5
64.63	34.4
65.07	34.4
65.5	34.3
65.95	34.2
66.38	34.1
66.83	34
67.27	33.9
67.75	33.9
68.22	33.8
68.72	33.7
69.15	33.6
69.58	33.5
70.05	33.5
70.5	33.4
70.97	33.4
71.42	33.3
71.87	33.3
72.33	33.2
72.8	33.2
73.27	33.1
73.7	33.1
74.15	33
74.62	33
75.08	32.9
75.53	32.9
76	32.9
76.43	32.8
76.92	32.7
77.52	32.7
78	32.6
78.42	32.6
78.87	32.6
79.32	32.5
79.75	32.5
80.2	32.4
80.67	32.4
81.08	32.4
81.5	32.3
81.95	32.3
82.38	32.3
82.85	32.2
83.37	32.3
83.75	32.2
84.17	32.2
84.53	32.1
85.08	32.1
85.5	32.1
85.98	32.1
86.42	32
